timestamp,time_formatted,duration_sec,algorithm,heuristic,ai_mode,score,total_steps,ai_steps,player_steps,pellets_total,pellets_eaten,pellets_remaining,power_pellets_total,power_pellets_eaten,power_pellets_remaining,level_reached,few_pellets_mode,few_pellets_count,ghost_mode,lives_lost,current_mode,ai_time_sec,human_time_sec,mode_changes_count,result
2025-10-08T10:12:28,01:04,64,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,64,0,0,LEVEL_COMPLETE
2025-10-08T10:12:37,01:05,65,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,65,0,0,LEVEL_COMPLETE
2025-10-08T10:13:44,01:11,71,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,71,0,0,LEVEL_COMPLETE
2025-10-08T10:13:53,01:11,71,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,71,0,0,LEVEL_COMPLETE
2025-10-08T10:14:18,01:13,73,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,73,0,0,LEVEL_COMPLETE
2025-10-08T10:14:27,01:12,72,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,72,0,0,LEVEL_COMPLETE
2025-10-08T10:15:14,01:11,71,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,71,0,0,LEVEL_COMPLETE
2025-10-08T10:15:23,01:11,71,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,71,0,0,LEVEL_COMPLETE
2025-10-08T10:15:54,01:10,70,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,70,0,0,LEVEL_COMPLETE
2025-10-08T10:16:23,01:19,79,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,79,0,0,LEVEL_COMPLETE
2025-10-08T10:16:25,01:02,62,UCS,EUCLIDEAN,AI,2600,328,328,0,244,244,0,4,0,4,0,False,20,False,0,AI,62,0,0,LEVEL_COMPLETE
2025-10-08T10:16:32,01:02,62,UCS,EUCLIDEAN,AI,2600,328,328,0,244,244,0,4,0,4,0,False,20,False,0,AI,62,0,0,LEVEL_COMPLETE
2025-10-08T10:17:02,01:02,62,UCS,EUCLIDEAN,AI,2600,328,328,0,244,244,0,4,0,4,0,False,20,False,0,AI,62,0,0,LEVEL_COMPLETE
2025-10-08T10:17:34,01:00,60,UCS,EUCLIDEAN,AI,2600,328,328,0,244,244,0,4,0,4,0,False,20,False,0,AI,60,0,0,LEVEL_COMPLETE
2025-10-08T10:17:42,01:01,61,UCS,EUCLIDEAN,AI,2600,328,328,0,244,244,0,4,0,4,0,False,20,False,0,AI,61,0,0,LEVEL_COMPLETE
2025-10-08T10:18:15,01:16,76,UCS,MAZEDISTANCE,AI,2600,317,317,0,244,244,0,4,0,4,0,False,20,False,0,AI,76,0,0,LEVEL_COMPLETE
2025-10-08T10:18:19,01:09,69,UCS,MAZEDISTANCE,AI,2600,317,317,0,244,244,0,4,0,4,0,False,20,False,0,AI,69,0,0,LEVEL_COMPLETE
2025-10-08T10:18:51,01:08,68,UCS,MAZEDISTANCE,AI,2600,317,317,0,244,244,0,4,0,4,0,False,20,False,0,AI,68,0,0,LEVEL_COMPLETE
2025-10-08T10:19:00,01:08,68,UCS,MAZEDISTANCE,AI,2600,317,317,0,244,244,0,4,0,4,0,False,20,False,0,AI,68,0,0,LEVEL_COMPLETE
2025-10-08T10:19:33,00:23,23,IDS,MANHATTAN,AI,70,87,87,0,7,7,0,4,0,4,0,True,7,False,0,AI,23,0,0,LEVEL_COMPLETE
2025-10-08T10:19:44,01:16,76,UCS,MAZEDISTANCE,AI,2600,317,317,0,244,244,0,4,0,4,0,False,20,False,0,AI,76,0,0,LEVEL_COMPLETE
2025-10-08T10:19:47,01:10,70,UCS,MAZEDISTANCE,AI,2600,317,317,0,244,244,0,4,0,4,0,False,20,False,0,AI,70,0,0,LEVEL_COMPLETE
2025-10-08T10:19:50,00:28,28,IDS,MANHATTAN,AI,70,85,85,0,7,7,0,4,0,4,0,True,7,False,0,AI,28,0,0,LEVEL_COMPLETE
2025-10-08T10:20:20,00:32,32,IDS,MANHATTAN,AI,70,91,91,0,7,7,0,4,0,4,0,True,7,False,0,AI,32,0,0,LEVEL_COMPLETE
2025-10-08T10:20:24,00:23,23,IDS,MANHATTAN,AI,70,86,86,0,7,7,0,4,0,4,0,True,7,False,0,AI,23,0,0,LEVEL_COMPLETE
2025-10-08T10:20:37,00:17,17,IDS,MANHATTAN,AI,70,69,69,0,7,7,0,4,0,4,0,True,7,False,0,AI,17,0,0,LEVEL_COMPLETE
2025-10-08T10:20:50,00:39,39,IDS,MANHATTAN,AI,70,101,101,0,7,7,0,4,0,4,0,True,7,False,0,AI,39,0,0,LEVEL_COMPLETE
2025-10-08T10:21:08,00:19,19,IDS,MANHATTAN,AI,70,87,87,0,7,7,0,4,0,4,0,True,7,False,0,AI,19,0,0,LEVEL_COMPLETE
2025-10-08T10:21:26,00:47,47,IDS,MANHATTAN,AI,70,99,99,0,7,7,0,4,0,4,0,True,7,False,0,AI,47,0,0,LEVEL_COMPLETE
2025-10-08T10:21:30,00:20,20,IDS,MANHATTAN,AI,70,75,75,0,7,7,0,4,0,4,0,True,7,False,0,AI,20,0,0,LEVEL_COMPLETE
2025-10-08T10:21:35,00:34,34,IDS,MANHATTAN,AI,70,91,91,0,7,7,0,4,0,4,0,True,7,False,0,AI,34,0,0,LEVEL_COMPLETE
2025-10-08T10:22:03,00:37,37,IDS,MANHATTAN,AI,70,100,100,0,7,7,0,4,0,4,0,True,7,False,0,AI,37,0,0,LEVEL_COMPLETE
2025-10-08T10:22:03,00:27,27,IDS,MANHATTAN,AI,70,83,83,0,7,7,0,4,0,4,0,True,7,False,0,AI,27,0,0,LEVEL_COMPLETE
